Timestamp,Increment,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2
2024-08-08 04:09:15.385507,0.0,0,0,0,0,0,0,0,0,0,0,0,0
2024-08-08 04:09:16.379877,7.2,0,0,0,0,0,0,0,0,0,0,0,0
2024-08-08 04:09:16.379877,14.4,0,0,0,0,0,0,0,0,0,0,0,0
2024-08-08 04:09:16.392602,21.6,-4129,-333,1829,83,-2,-4,-2791,-520,339,9,4,-2
2024-08-08 04:09:16.399577,28.8,-5069,-217,1472,122,-5,-7,-4067,-1119,1083,84,7,-6
2024-08-08 04:09:16.407259,36.0,-5839,-357,1272,135,-5,-7,-5095,-1220,214,124,9,-6
2024-08-08 04:09:16.415907,43.2,-6363,-282,869,154,-8,-7,-5737,-1228,-78,136,10,-7
2024-08-08 04:09:16.427533,50.4,-6715,-238,1000,170,-8,-10,-6286,-1303,-660,155,13,-9
2024-08-08 04:09:16.434660,57.6,-7074,-426,751,187,-7,-11,-6732,-1594,-893,172,12,-7
2024-08-08 04:09:16.434660,64.8,-7257,-577,657,199,-10,-8,-6960,-1525,-1213,189,11,-8
2024-08-08 04:09:16.450286,72.0,-7333,-430,781,218,-12,-12,-7141,-1678,-969,201,13,-12
2024-08-08 04:09:16.450286,79.2,-7529,-636,541,223,-11,-14,-7379,-2143,-1079,220,16,-10
2024-08-08 04:09:16.472465,86.4,-7628,-838,404,249,-13,-13,-7450,-2050,-1436,226,14,-8
2024-08-08 04:09:16.472465,93.60000000000001,-7710,-944,137,264,-12,-12,-7522,-2112,-1593,251,16,-12
2024-08-08 04:09:16.472465,100.8,-7670,-947,295,279,-14,-15,-7584,-2131,-2121,265,15,-14
2024-08-08 04:09:16.488098,108.0,-7762,-1253,201,292,-14,-16,-7683,-2619,-1896,280,17,-12
2024-08-08 04:09:16.488098,115.2,-7774,-1515,426,313,-17,-16,-7641,-2675,-1882,293,16,-12
2024-08-08 04:09:16.488098,122.4,-7764,-1467,-2,317,-18,-17,-7637,-2982,-1696,314,19,-13
2024-08-08 04:09:16.516371,129.6,-7851,-1743,-172,340,-18,-19,-7747,-3212,-2061,319,19,-13
2024-08-08 04:09:16.524117,136.8,-7888,-1966,-115,335,-19,-18,-7684,-3170,-2579,341,20,-14
2024-08-08 04:09:16.524117,144.0,-7936,-1847,-1000,335,-19,-16,-7677,-3281,-2474,336,21,-14
2024-08-08 04:09:16.555368,151.20000000000002,-7894,-1862,-927,343,-19,-17,-7776,-3226,-3104,336,21,-17
2024-08-08 04:09:16.570993,158.4,-7865,-1897,-673,335,-20,-19,-7809,-3354,-3470,344,21,-17
2024-08-08 04:09:16.589183,165.6,-7966,-1965,-1281,333,-18,-17,-7825,-3571,-3194,337,21,-14
2024-08-08 04:09:16.612027,172.8,-7980,-1955,-1454,343,-19,-18,-7782,-3259,-3724,334,20,-16
2024-08-08 04:09:16.644123,180.0,-7914,-1853,-1374,331,-21,-17,-7757,-3224,-4216,344,22,-16
2024-08-08 04:09:16.680308,187.20000000000002,-7971,-1879,-1673,338,-17,-17,-7854,-3432,-3946,332,23,-15
2024-08-08 04:09:16.691555,194.4,-7935,-2060,-1028,340,-20,-20,-7804,-3336,-4102,339,19,-17
2024-08-08 04:09:16.696879,201.6,-7981,-1980,-1436,332,-20,-17,-7771,-3426,-3924,340,23,-14
2024-08-08 04:09:16.760714,208.8,-8021,-2137,-1390,336,-16,-16,-7772,-3443,-3751,333,22,-15
2024-08-08 04:09:16.776342,216.0,-7889,-1943,-1200,342,-22,-18,-7755,-3233,-3997,337,19,-16
2024-08-08 04:09:16.791967,223.20000000000002,-7955,-1970,-1280,334,-18,-17,-7855,-3486,-4109,343,25,-15
2024-08-08 04:09:16.823220,230.4,-258,-258,-258,-258,-258,-258,-7831,-3290,-4429,346,21,-15
2024-08-08 04:09:16.844686,237.6,7547,-27213,-19973,-32385,-9962,-22983,-7870,-3335,-4411,334,24,-14
2024-08-08 04:09:16.858123,244.8,-17518,24017,15170,4163,26872,24374,-7843,-3229,-4561,334,19,-15
2024-08-08 04:09:16.874496,252.0,-26076,2747,-13171,25249,-27879,-32061,-7863,-3164,-4758,340,19,-13
2024-08-08 04:09:16.895708,259.2,25258,29200,-25695,3345,-9264,-18649,-7915,-3357,-4412,332,23,-15
2024-08-08 04:09:16.911333,266.40000000000003,-258,-258,-258,-258,-258,-258,-7751,-3234,-4290,338,21,-15
2024-08-08 04:09:16.926958,273.6,32639,32639,32639,32639,32639,32639,-7677,-3285,-3996,347,20,-12
2024-08-08 04:09:16.959185,280.8,-2262,-1212,-19862,-18,-20,-8108,-7804,-3408,-4143,331,22,-14
2024-08-08 04:09:16.959185,288.0,-2063,-1188,-19862,-21,-17,-7954,-7821,-3238,-4799,344,21,-15
2024-08-08 04:09:16.974811,295.2,-1881,-1912,-19862,-20,-17,-8034,-7725,-3156,-4514,345,21,-12
2024-08-08 04:09:16.990436,302.40000000000003,-2154,-1633,-19862,-20,-20,-8122,-7808,-3289,-4463,330,22,-15
2024-08-08 04:09:16.990436,309.6,-1976,-1587,-19862,-20,-16,-7998,-7779,-3191,-4891,345,22,-14
2024-08-08 04:09:17.006063,316.8,-1816,-2280,-19862,-20,-19,-8082,-7687,-3400,-3878,343,22,-12
2024-08-08 04:09:17.021698,324.0,-2306,-688,-19862,-20,-20,-8047,-7732,-3531,-3625,329,21,-15
2024-08-08 04:09:17.047430,331.2,-2152,-706,-19862,-20,-16,-7995,-7747,-3255,-4703,348,21,-13
2024-08-08 04:09:17.058800,338.40000000000003,-2103,-1104,-19862,-20,-20,-8052,-7661,-3343,-4023,337,21,-12
2024-08-08 04:09:17.074426,345.6,-2252,-912,-19862,-21,-20,-8092,-7748,-3353,-4281,332,22,-16
2024-08-08 04:09:17.090071,352.8,-2067,-1075,-19862,-21,-16,-7990,-7648,-3574,-3908,347,19,-12
