Timestamp,Increment,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2
,,,,,,,,,,,,,
30:08.2,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,
30:09.0,7.2,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,
30:09.0,14.4,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,
30:09.0,21.6,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,
30:09.0,28.8,-2851,-173,1340,16,2,-2,0,0,0,0,0,0
,,,,,,,,,,,,,
30:09.0,36,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,
30:09.0,43.2,-4202,-458,1857,92,0,-1,-4104,-973,984,93,4,-7
,,,,,,,,,,,,,
30:09.0,50.4,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,
30:09.0,57.6,-5764,-7,1403,143,-9,-8,-5058,-1213,787,127,11,-9
,,,,,,,,,,,,,
30:09.0,64.8,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,
30:09.1,72,-6332,-173,1155,157,-6,-9,-6405,-1453,-865,159,8,-3
,,,,,,,,,,,,,
30:09.1,79.2,-6930,-695,738,171,-7,-6,-6546,-1118,-735,173,9,-8
,,,,,,,,,,,,,
30:09.1,86.4,-7059,-368,587,189,-14,-4,-7028,-1568,-1141,191,16,-11
,,,,,,,,,,,,,
30:09.1,93.6,-7206,-273,751,209,-9,-9,-7028,-1568,-1141,191,16,-11
,,,,,,,,,,,,,
30:09.1,100.8,-7206,-273,751,209,-9,-9,-7348,-1853,-1740,211,9,-7
,,,,,,,,,,,,,
30:09.1,108,-7427,-669,479,217,-10,-9,-7340,-1807,-1255,219,11,-8
,,,,,,,,,,,,,
30:09.1,115.2,-7589,-783,291,237,-16,-9,-7340,-1807,-1255,219,11,-8
,,,,,,,,,,,,,
30:09.1,122.4,-7589,-783,291,237,-16,-9,-7426,-1937,-1402,239,17,-10
,,,,,,,,,,,,,
30:09.1,129.6,-7602,-759,505,243,-12,-9,-7642,-2163,-1892,244,13,-11
,,,,,,,,,,,,,
30:09.1,136.8,-7672,-930,306,268,-12,-12,-7642,-2163,-1892,244,13,-11
,,,,,,,,,,,,,
30:09.1,144,-7672,-930,306,268,-12,-12,-7685,-2287,-1982,270,12,-10
,,,,,,,,,,,,,
30:09.1,151.2,-7787,-1126,-96,281,-14,-9,-7624,-2364,-1972,283,14,-13
,,,,,,,,,,,,,
30:09.1,158.4,-7755,-1199,299,295,-17,-13,-7624,-2364,-1972,283,14,-13
,,,,,,,,,,,,,
30:09.2,165.6,-7755,-1199,299,295,-17,-13,-7750,-2755,-2088,296,16,-10
,,,,,,,,,,,,,
30:09.3,172.8,-7783,-1292,-227,310,-15,-12,-7787,-2895,-2237,311,14,-12
,,,,,,,,,,,,,
30:09.3,180,-7873,-1662,-244,335,-18,-15,-7671,-2893,-2610,336,17,-11
,,,,,,,,,,,,,
30:09.4,187.2,-7873,-1662,-244,335,-18,-15,-7671,-2893,-2610,336,17,-11
,,,,,,,,,,,,,
30:09.4,194.4,-7922,-1933,173,326,-18,-13,-7659,-3150,-2197,327,17,-13
,,,,,,,,,,,,,
