Timestamp,Increment,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2
2024-08-06 06:43:36.759,0.0,0,0,0,0,0,0,0,0,0,0,0,0
2024-08-06 06:43:37.573,7.2,0,0,0,0,0,0,0,0,0,0,0,0
2024-08-06 06:43:37.589,14.4,0,0,0,0,0,0,0,0,0,0,0,0
2024-08-06 06:43:37.589,21.6,0,0,0,0,0,0,0,0,0,0,0,0
2024-08-06 06:43:37.599,28.8,0,0,0,0,0,0,0,0,0,0,0,0
2024-08-06 06:43:37.599,36.0,0,0,0,0,0,0,0,0,0,0,0,0
2024-08-06 06:43:37.607,43.2,-4140,-234,1474,86,-3,-3,-4158,-1121,1151,88,7,-5
2024-08-06 06:43:37.617,50.4,-5099,-190,1392,122,-4,-4,-5169,-1170,172,124,7,-6
2024-08-06 06:43:37.625,57.6,-5827,-232,1127,137,-4,-5,-5862,-1183,-380,139,6,-6
2024-08-06 06:43:37.633,64.8,-6396,-371,749,152,-8,-3,-5862,-1183,-380,139,6,-6
2024-08-06 06:43:37.641,72.0,-6396,-371,749,152,-8,-3,-6300,-1257,-207,154,9,-9
2024-08-06 06:43:37.650,79.2,-6705,-123,809,170,-11,-8,-6826,-1600,-901,172,12,-6
2024-08-06 06:43:37.658,86.4,-7018,-281,760,183,-8,-7,-6826,-1600,-901,172,12,-6
2024-08-06 06:43:37.667,93.60000000000001,-7018,-281,760,183,-8,-7,-7133,-1582,-1294,185,8,-7
2024-08-06 06:43:37.683,100.8,-7417,-684,340,205,-11,-6,-7108,-1395,-1178,207,11,-10
2024-08-06 06:43:37.717,108.0,-7403,-390,531,212,-11,-8,-7108,-1395,-1178,207,11,-10
2024-08-06 06:43:37.725,115.2,-7403,-390,531,212,-11,-8,-7521,-1863,-1700,214,11,-8
2024-08-06 06:43:37.734,122.4,-7585,-571,71,234,-10,-7,-7553,-1862,-1814,236,9,-11
2024-08-06 06:43:37.750,129.6,-7706,-842,269,247,-16,-10,-7553,-1862,-1814,236,9,-11
2024-08-06 06:43:37.859,136.8,-7706,-842,269,247,-16,-10,-7524,-2090,-1384,249,14,-9
2024-08-06 06:43:37.873,144.0,-7756,-935,104,265,-14,-9,-7623,-2099,-2145,268,12,-11
2024-08-06 06:43:37.883,151.20000000000002,-7705,-1208,971,277,-16,-12,-7623,-2099,-2145,268,12,-11
2024-08-06 06:43:37.900,158.4,-7705,-1208,971,277,-16,-12,-7682,-2655,-1273,280,14,-9
2024-08-06 06:43:38.109,165.6,-7784,-1270,-32,293,-15,-10,-7689,-2527,-1931,295,13,-12
2024-08-06 06:43:38.122,172.8,-7855,-1629,709,314,-21,-13,-7689,-2527,-1931,295,13,-12
2024-08-06 06:43:38.158,180.0,-7855,-1629,709,314,-21,-13,-7664,-2847,-1804,316,17,-10
2024-08-06 06:43:38.167,187.20000000000002,-7794,-1474,62,313,-20,-11,-7802,-3318,-1508,315,16,-12
2024-08-06 06:43:38.256,194.4,-8013,-1822,-384,337,-20,-12,-7802,-3318,-1508,315,16,-12
2024-08-06 06:43:38.272,201.6,-8013,-1822,-384,337,-20,-12,-7653,-2860,-2951,338,15,-13
2024-08-06 06:43:38.287,208.8,-7978,-1850,-570,332,-23,-14,-7788,-3018,-3174,334,18,-10
2024-08-06 06:43:38.287,216.0,-7932,-1742,-1122,331,-18,-9,-7788,-3018,-3174,334,18,-10
2024-08-06 06:43:38.372,223.20000000000002,-7932,-1742,-1122,331,-18,-9,-7839,-3176,-3209,332,13,-17
2024-08-06 06:43:38.384,230.4,-8023,-1995,-816,339,-21,-13,-7722,-3006,-3859,341,18,-13
2024-08-06 06:43:38.401,237.6,-7986,-1965,-811,333,-24,-13,-7722,-3006,-3859,341,18,-13
2024-08-06 06:43:38.403,244.8,-7986,-1965,-811,333,-24,-13,-7838,-3256,-3408,335,19,-12
2024-08-06 06:43:38.475,252.0,-8046,-1978,-1521,331,-17,-11,-7803,-3092,-3648,333,13,-15
2024-08-06 06:43:38.491,259.2,-7960,-2035,-761,335,-22,-13,-7803,-3092,-3648,333,13,-15
2024-08-06 06:43:38.507,266.40000000000003,-7960,-2035,-761,335,-22,-13,-7853,-3182,-4115,337,18,-12
2024-08-06 06:43:38.522,273.6,-7951,-1919,-1066,330,-25,-13,-7908,-3477,-3290,332,20,-12
2024-08-06 06:43:38.632,280.8,-8067,-1984,-1703,333,-16,-10,-7908,-3477,-3290,332,20,-12
2024-08-06 06:43:38.647,288.0,-8067,-1984,-1703,333,-16,-10,-7810,-3126,-3839,335,11,-16
2024-08-06 06:43:38.666,295.2,-7944,-1885,-1309,334,-25,-15,-7885,-3204,-4366,336,21,-11
2024-08-06 06:43:38.697,302.40000000000003,-8009,-1847,-1712,332,-21,-10,-7885,-3204,-4366,336,21,-11
2024-08-06 06:43:38.755,309.6,-8009,-1847,-1712,332,-21,-10,-7883,-3384,-3450,334,16,-16
2024-08-06 06:43:38.767,316.8,-8145,-2243,-1019,334,-18,-13,-7642,-3142,-3579,336,13,-13
2024-08-06 06:43:38.774,324.0,-8012,-1989,-904,333,-28,-12,-7642,-3142,-3579,336,13,-13
2024-08-06 06:43:38.790,331.2,-8012,-1989,-904,333,-28,-12,-7752,-3309,-4013,336,22,-13
2024-08-06 06:43:38.806,338.40000000000003,-8165,-2023,-1847,330,-23,-11,-7700,-3053,-3887,332,15,-13
2024-08-06 06:43:38.821,345.6,-8091,-2222,-1095,335,-20,-14,-7700,-3053,-3887,332,15,-13
2024-08-06 06:43:38.837,352.8,-8091,-2222,-1095,335,-20,-14,-7744,-2974,-4317,337,13,-11
