Timestamp,Increment,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2
,,,,,,,,,,,,,
11:23.7,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,
11:24.4,7.2,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,
11:24.4,14.4,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,
11:24.4,21.6,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,
11:24.4,28.8,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,
11:24.4,36,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,
11:24.4,43.2,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,
11:24.4,50.4,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,
11:24.4,57.6,-2878,-99,871,6,2,0,0,0,0,0,0,0
,,,,,,,,,,,,,
11:24.5,64.8,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,
11:24.5,72,-4215,-417,1955,73,-1,-2,-4098,-991,1081,75,5,-6
,,,,,,,,,,,,,
11:24.5,79.2,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,
11:24.5,86.4,-5083,-158,1602,121,-3,-5,-5176,-1274,360,122,6,-5
,,,,,,,,,,,,,
11:24.5,93.6,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,
11:24.5,100.8,-5958,-385,987,137,-6,-4,-5673,-1097,110,139,9,-7
,,,,,,,,,,,,,
11:24.5,108,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,
11:24.5,115.2,-6272,-33,849,149,-9,-7,-5673,-1097,110,139,9,-7
,,,,,,,,,,,,,
11:24.5,122.4,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,
11:24.5,129.6,-6811,-394,1070,165,-7,-6,-6447,-1527,-411,151,11,-6
,,,,,,,,,,,,,
11:24.5,136.8,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,
11:24.5,144,-6811,-394,1070,165,-7,-6,-6697,-1312,-972,166,8,-7
,,,,,,,,,,,,,
11:24.5,151.2,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,
11:24.5,158.4,-7119,-532,803,181,-7,-6,-6941,-1403,-912,183,8,-9
,,,,,,,,,,,,,
11:24.5,165.6,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,
11:24.5,172.8,-7232,-381,564,200,-11,-6,-7242,-1732,-1090,202,12,-9
,,,,,,,,,,,,,
11:24.6,180,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,
11:24.6,187.2,-7435,-620,827,211,-12,-11,-7242,-1732,-1090,202,12,-9
,,,,,,,,,,,,,
11:24.6,194.4,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,
11:24.6,201.6,-7560,-728,701,230,-11,-5,-7374,-1777,-1317,213,13,-6
,,,,,,,,,,,,,
11:24.6,208.8,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,
11:24.6,216,-7560,-728,701,230,-11,-5,-7460,-1944,-1295,231,11,-13
,,,,,,,,,,,,,
11:24.6,223.2,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,
11:24.6,230.4,-7549,-556,525,241,-13,-13,-7713,-2273,-1703,243,13,-6
,,,,,,,,,,,,,
11:24.6,237.6,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,
11:24.6,244.8,-7835,-1099,160,260,-13,-9,-7486,-1965,-1768,261,12,-11
,,,,,,,,,,,,,
11:24.6,252,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,
11:24.6,259.2,-7677,-994,422,275,-16,-10,-7486,-1965,-1768,261,12,-11
,,,,,,,,,,,,,
11:24.6,266.4,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,
11:24.6,273.6,-7827,-1215,-54,287,-14,-11,-7781,-2510,-1808,276,15,-12
,,,,,,,,,,,,,
11:24.6,280.8,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,
11:24.7,288,-7827,-1215,-54,287,-14,-11,-7727,-2370,-2393,288,12,-11
,,,,,,,,,,,,,
11:24.7,295.2,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,
11:24.7,302.4,-7882,-1440,71,312,-16,-12,-7728,-2657,-2287,313,14,-13
,,,,,,,,,,,,,
11:24.8,309.6,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,
11:24.8,316.8,-7846,-1413,-387,313,-20,-11,-7800,-3061,-1926,314,17,-13
,,,,,,,,,,,,,
11:24.8,324,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,
11:24.8,331.2,-7946,-1540,-845,341,-19,-13,-7800,-3061,-1926,314,17,-13
,,,,,,,,,,,,,
11:24.9,338.4,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,
11:24.9,345.6,-7951,-1818,-204,335,-23,-16,-7771,-2904,-3195,343,16,-13
,,,,,,,,,,,,,
11:24.9,352.8,0,0,0,0,0,0,0,0,0,0,0,0
