Increment,az1,Az1_Angle,KalAngleX1,az2,Az2_Angle,KalAngleX2
0.0,0.0,0.0,-86.37729322419226,0.0,0.0,-12.85836797918135
7.2,0.0,0.0,-77.17674056616758,0.0,0.0,-11.69684716492938
14.4,0.0,0.0,-68.58298379055407,0.0,0.0,-10.598833477798685
21.6,0.0,0.0,-60.57949292253116,0.0,0.0,-9.563928267067716
28.8,0.0,0.0,-53.14780058092846,0.0,0.0,-8.591358511011261
36.0,0.0,0.0,-46.267862510608396,0.0,0.0,-7.680027742655968
43.2,0.0,0.0,-39.91838463376706,0.0,0.0,-6.828562921439922
50.4,0.0,0.0,-34.077118518555956,0.0,0.0,-6.035357431906491
57.6,0.0,0.0,-28.721127143197684,0.0,0.0,-5.2986103943952845
64.8,0.0,0.0,-23.827022803419638,0.0,0.0,-4.616362474817455
72.0,0.0,0.0,-19.37117897200102,0.0,0.0,-3.9865283812131227
79.2,0.0,0.0,-15.329917872842463,0.0,0.0,-3.40692623406629
86.4,0.0,0.0,-11.679675479433923,0.0,0.0,-2.8753039954650608
93.60000000000001,-2664.0,-0.16996875,-22.2599522661831,0.0,0.0,-2.389363139297145
100.8,-12910.0,-0.8236848958333335,3.1752713715862093,0.0,0.0,-1.9467797409055045
108.0,-13043.0,-0.8321705729166667,26.656640359190025,0.0,0.0,-1.5452231601277753
115.2,-13023.0,-0.8308945312500001,48.266667120928005,0.0,0.0,-1.1823724865258274
122.4,-13048.0,-0.8324895833333333,68.09193970927763,0.0,0.0,-0.8559309099882016
129.6,-13040.0,-0.8319791666666668,86.2158448113099,0.0,0.0,-0.5636381738576338
136.8,-13039.0,-0.8319153645833335,102.72823202855672,0.0,0.0,-0.30328126138868705
144.0,-13027.0,-0.8311497395833334,117.71237321552206,0.0,0.0,-0.07270345975785386
151.20000000000002,-13014.0,-0.8303203125000002,131.24809067452594,0.0,0.0,0.13018806089672136
158.4,-13034.0,-0.8315963541666668,143.4300853890081,0.0,0.0,0.3074160227714305
165.6,-13040.0,-0.8319791666666668,154.33792329921712,-2764.0,-0.17634895833333336,-13.41208822199291
172.8,8708.0,0.5555885416666668,141.5735936562225,0.0,0.0,-12.253567886793174
