Increment,az1,Az1_Angle,ax1,Ax1_Angle,KalAngleX1,az2,Az2_Angle,ax2,Ax2_Angle,KalAngleX2
,,,,,,,,,,
0,0,0,-1,-6.38E-05,74.76890022,0,0,-167,-0.010654948,-52.309119
,,,,,,,,,,
7.2,3445,0.219798177,0,0,76.79242286,-1,-6.38E-05,-167,-0.010654948,-58.40052581
,,,,,,,,,,
14.4,3445,0.219798177,-1,-6.38E-05,78.58591777,0,0,-167,-0.010654948,-64.00157363
,,,,,,,,,,
21.6,3445,0.219798177,-1,-6.38E-05,80.16096789,0,0,-168,-0.01071875,-69.12836655
,,,,,,,,,,
28.8,3445,0.219798177,0,0,81.53247881,0,0,-167,-0.010654948,-73.79428857
,,,,,,,,,,
36,3445,0.219798177,0,0,82.71355595,-1,-6.38E-05,-167,-0.010654948,-78.02528064
,,,,,,,,,,
43.2,3445,0.219798177,0,0,83.71914989,0,0,-168,-0.01071875,-81.82479052
,,,,,,,,,,
50.4,3445,0.219798177,-1,-6.38E-05,84.56340005,0,0,-166,-0.010591146,-85.22418285
,,,,,,,,,,
57.6,3445,0.219798177,0,0,85.26057865,-1,-6.38E-05,-167,-0.010654948,-88.25534849
,,,,,,,,,,
64.8,3445,0.219798177,0,0,85.82273711,0,0,-166,-0.010591146,-90.92496238
,,,,,,,,,,
72,3445,0.219798177,-1,-6.38E-05,86.2635899,0,0,-166,-0.010591146,-93.26596723
,,,,,,,,,,
79.2,3445,0.219798177,-1,-6.38E-05,86.5938854,-1,-6.38E-05,-167,-0.010654948,-95.3103509
,,,,,,,,,,
86.4,3445,0.219798177,0,0,86.82596313,0,0,-166,-0.010591146,-97.06376974
,,,,,,,,,,
93.6,3445,0.219798177,-1,-6.38E-05,86.96917055,0,0,-167,-0.010654948,-98.55748712
,,,,,,,,,,
100.8,3446,0.219861979,0,0,87.03349926,0,0,-166,-0.010591146,-99.81288251
,,,,,,,,,,
108,3446,0.219861979,0,0,87.02851319,-1,-6.38E-05,-166,-0.010591146,-100.8587855
,,,,,,,,,,
115.2,3446,0.219861979,0,0,86.96267562,0,0,-166,-0.010591146,-101.6972148
,,,,,,,,,,
122.4,3445,0.219798177,-1,-6.38E-05,86.84423583,0,0,-165,-0.010527344,-102.3556299
,,,,,,,,,,
129.6,3446,0.219861979,-1,-6.38E-05,86.68009997,0,0,-165,-0.010527344,-102.8514305
,,,,,,,,,,
136.8,3446,0.219861979,0,0,86.47622932,-1,-6.38E-05,-166,-0.010591146,-103.2093954
,,,,,,,,,,
144,3446,0.219861979,0,0,86.23934279,-1,-6.38E-05,-166,-0.010591146,-103.4358931
,,,,,,,,,,
151.2,3446,0.219861979,0,0,85.97556492,0,0,-166,-0.010591146,-103.5369367
,,,,,,,,,,
158.4,3446,0.219861979,-1,-6.38E-05,85.68938535,0,0,-165,-0.010527344,-103.5350023
,,,,,,,,,,
165.6,3446,0.219861979,0,0,85.38543759,-1,-6.38E-05,-165,-0.010527344,-103.4510115
,,,,,,,,,,
172.8,3446,0.219861979,0,0,85.06737797,-1,-6.38E-05,-166,-0.010591146,-103.2875255
