Timestamp,Increment,az1,Az1_Angle,KalAngleX1,az2,Az2_Angle,KalAngleX2
,,,,,,,
45:06.1,0,0,0,0,0,0,0
,,,,,,,
45:07.1,7.2,0,0,0,0,0,0
,,,,,,,
45:07.1,14.4,0,0,0,0,0,0
,,,,,,,
45:07.1,21.6,-352,-0.022458333,12.2302342,-1014,-0.064695313,-82.54493622
,,,,,,,
45:07.1,28.8,-443,-0.028264323,23.24870799,-1584,-0.1010625,-93.97631475
,,,,,,,
45:07.1,36,-504,-0.03215625,34.3960642,-1996,-0.127348958,-105.1077594
,,,,,,,
45:07.1,43.2,-544,-0.034708333,45.43565265,-2310,-0.147382813,-115.7778889
,,,,,,,
45:07.1,50.4,-580,-0.037005208,56.23797826,-2532,-0.161546875,-125.8676685
,,,,,,,
45:07.1,57.6,-605,-0.03860026,66.66438465,-2693,-0.17181901,-135.2927388
,,,,,,,
45:07.1,64.8,-625,-0.039876302,76.65036804,-2805,-0.178964844,-143.9982869
,,,,,,,
45:07.1,72,-634,-0.040450521,86.04347709,-2894,-0.184643229,-151.9624444
,,,,,,,
45:07.1,79.2,-634,-0.040450521,94.77866413,-2969,-0.189428385,-159.1826767
,,,,,,,
45:07.1,86.4,-645,-0.041152344,102.896352,-3017,-0.192490885,-165.6592241
,,,,,,,
45:07.2,93.6,-650,-0.041471354,110.3775153,-3049,-0.194532552,-171.4137629
,,,,,,,
45:07.2,100.8,-652,-0.041598958,117.2028192,-3072,-0.196,-176.4943962
,,,,,,,
45:07.2,108,-656,-0.041854167,123.3963883,-3094,-0.197403646,-180.9191121
,,,,,,,
45:07.2,115.2,-664,-0.042364583,129.0113003,-3111,-0.198488281,-184.7368223
,,,,,,,
45:07.3,122.4,-669,-0.042683594,134.0576811,-3125,-0.19938151,-187.9900633
,,,,,,,
45:07.3,129.6,-672,-0.042875,138.5434098,-3137,-0.200147135,-190.7370402
,,,,,,,
45:07.5,136.8,-680,-0.043385417,142.5502853,-3137,-0.200147135,-192.9988334
,,,,,,,
45:07.5,144,-674,-0.043002604,146.0031557,-3141,-0.200402344,-194.8346058
,,,,,,,
45:07.5,151.2,-680,-0.043385417,149.0310616,-3147,-0.200785156,-196.2828611
,,,,,,,
45:07.5,158.4,-686,-0.043768229,151.6470463,-3149,-0.20091276,-197.3864059
,,,,,,,
45:07.6,165.6,-687,-0.043832031,153.8955584,-3152,-0.201104167,-198.1576003
,,,,,,,
45:07.6,172.8,-680,-0.043385417,155.7558876,-3149,-0.20091276,-198.6502909
